Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Float,Short Ratio,Avg Volume,Price,Change %,Volume,datetime
AABT,192510000000.0,1730000000.0,1720000000.0,0.0068000000000000005,0.0004,0.8075,-0.0144,1.32%,1.86,12170000.0,111.25,-0.02%,5575401.0,2026-08-14 22:04:43
PPEP,192160000000.0,1370000000.0,1360000000.0,0.0039000000000000003,-0.006999999999999999,0.7765000000000001,0.0002,2.16%,3.36,8740000.0,140.79,0.12%,3864427.0,2026-08-14 22:04:43
SSCHW,192110000000.0,1730000000.0,1630000000.0,0.0582,-0.0158,0.8234999999999999,-0.0292,1.26%,1.99,10300000.0,111.09,0.94%,5984838.0,2026-08-14 22:04:43
BBLK,190700000000.0,155000000.0,143780000.0,0.1151,-0.0034999999999999996,0.7440000000000001,0.0022,1.51%,2.83,768920.0,1173.73,-0.77%,514666.0,2026-08-14 22:04:43
AADI,189670000000.0,487090000.0,485780000.0,0.0027,-0.10830000000000001,0.8978,-0.009000000000000001,2.01%,2.06,4740000.0,389.39,2.16%,2115585.0,2026-08-14 22:04:43
DDIS,184500000000.0,1730000000.0,1720000000.0,0.0017000000000000001,0.0003,0.7827,-0.0241,1.13%,1.85,10510000.0,106.85,1.96%,8172209.0,2026-08-14 22:04:43
BBA,183110000000.0,789790000.0,789440000.0,0.0012,-0.0044,0.7609999999999999,-0.0029,1.96%,2.46,6270000.0,231.67,0.58%,2646172.0,2026-08-14 22:04:43
NNEE,179790000000.0,2089999999.9999998,2080000000.0,0.0025,-0.0077,0.8576999999999999,0.0034999999999999996,3.03%,5.22,12110000.0,86.19,0.21%,7236973.0,2026-08-14 22:04:43
BBX,178740000000.0,752600000.0,742460000.0,0.4021,-0.20309999999999997,0.43560000000000004,-0.0064,3.57%,5.13,5160000.0,143.93,-3.61%,3803408.0,2026-08-14 22:04:43
WWDC,175370000000.0,344680000.0,341430000.0,0.009399999999999999,-0.0336,0.9836,-0.0042,7.20%,2.91,8450000.0,508.8,4.41%,9925251.0,2026-08-14 22:04:43
EETN,175370000000.0,388400000.0,387600000.0,0.0021,-0.0489,0.873,0.0149,1.76%,2.81,2440000.0,451.51,-0.40%,1400927.0,2026-08-14 22:04:43
UUNP,174470000000.0,593960000.0,592810000.0,0.0021,-0.0268,0.9018,0.0051,4.43%,8.81,2980000.0,293.68,-1.38%,2267862.0,2026-08-14 22:04:43
QQCOM,174120000000.0,1060000000.0,1050000000.0,0.001,-0.0394,0.8044,-0.0519,3.30%,1.9,18160000.0,165.79,0.61%,5803659.0,2026-08-14 22:04:43
GGILD,171560000000.0,1240000000.0,1240000000.0,0.0014000000000000002,-0.0849,0.8844,-0.0173,1.97%,3.17,7680000.0,138.36,0.16%,3406907.0,2026-08-14 22:04:43
TT,170560000000.0,6880000000.0,6840000000.0,0.0013,0.0,0.684,-0.002,1.90%,2.04,63650000.0,24.89,1.26%,27102066.0,2026-08-14 22:04:43
WWELL,169750000000.0,720750000.0,720440000.0,0.0004,0.0,1.0026000000000002,0.029300000000000003,2.46%,4.97,3560000.0,235.52,0.46%,1967690.0,2026-08-14 22:04:43
TTJX,168040000000.0,1110000000.0,1100000000.0,0.0019,-0.08810000000000001,0.9317,-0.0038,1.76%,3.28,5920000.0,152.11,-1.11%,3928776.0,2026-08-14 22:04:43
SSMFG,166690000000.0,6330000000.0,6330000000.0,0.0005,-0.0013,0.0208,-0.0242,0.14%,4.54,1900000.0,26.32,0.08%,951215.0,2026-08-14 22:04:43
DDE,164350000000.0,269940000.0,249830000.0,0.0745,0.0,0.7581,-0.0118,2.52%,4.94,1270000.0,608.85,-0.58%,802308.0,2026-08-14 22:04:43
