pv,bond_dirty_price,ls,lt,dp,type,du,id,iopv,ig,ed,change_vs_pc_percentage,ej,clo,el,v_,ex,nc,vl,cur,fn,trading_time,bl,sc,bv,dpc,iiv,sip,bond_clean_price,cc,ptd,b,issuer-name,c,sv,h,i,cn,l,m,n,o,p_,cr,p,bond_accrued_interest,change_vs_pc,r,s,cx,v,lf,bond_date,datetime,datetime_sg
0.034,,P,0.034,,structuredwarrants,,0,0.0,16.0,2026-12-29,,,,7.8,,,NVPW,0.0,SGD,,20260709_091600,100,,0.0,,,@,,,,,SIA MB eCW261229,0.0,0.0,0.0,,,0.0,MAINBOARD,SIA MB eCW261229,0.0,,15:1,0.0,,,,,0.0,0.0,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.925,,P,0.925,,adrs,,0,0.0,13.0,,,,,0.0,,,TSCD,13.8,SGD,,20260709_085931,100,G,0.0,,,,,,,,SiamCement TH SDR10to1,0.0,0.0,0.925,,,0.915,GLOBAL_QUOTE,SiamCement TH SDR10to1,0.915,,,0.0,,,,,0.0,12636.0,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.164,,P,0.164,,stocks,,0,0.0,,,,,,0.0,,,BHK,67.0,SGD,,20260709_091600,100,E,8.5,,,,,,20260708,0.163,SIIC Environment,0.0,49.6,0.164,,,0.163,MAINBOARD,SIIC Environment,0.163,,,0.0,,,,0.164,0.0,10921.4,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.41,,P,0.41,,stocks,,0,0.0,,,,,,0.0,,,URR,0.0,SGD,,20260709_091600,100,R,0.2,,,,,,20260702,0.400,Sim Leisure,0.0,5.2,0.0,,,0.0,CATALIST,Sim Leisure,0.0,,,0.0,,,,0.430,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
1.985,,P,2.12,0.0,dlcertificates,0.0,0,0.0,25.0,2028-12-18,,,,0.0,,,5U8W,2.2,SGD,,20260709_091600,100,,0.0,0.0,,@,,,,,SiMSCI 7xLongSG281218,0.311,0.0,2.17,,,2.08,MAINBOARD,SiMSCI 7xLongSG281218,2.08,,,17.192,,,,,1.809,4713.0,7.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.004,,P,0.004,0.0,dlcertificates,0.0,0,0.0,26.0,2026-10-29,,,,0.0,,,CYZW,0.0,SGD,,20260709_091600,100,,0.0,0.0,,@,,,,,SiMSCI 7xShortSG261029,0.0,30.9,0.0,,,0.0,MAINBOARD,SiMSCI 7xShortSG261029,0.0,,,0.0,,,,0.004,0.001,0.0,7.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.141,,P,0.126,0.0,dlcertificates,0.0,0,0.0,26.0,2028-01-28,,,,0.0,,,RXTW,200.0,SGD,,20260709_091600,100,,0.0,0.0,,@,,,,,SiMSCI 7xShortSG280128,-0.019,0.0,0.126,,,0.126,MAINBOARD,SiMSCI 7xShortSG280128,0.126,,,-13.103,,,,,0.145,25200.0,7.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.595,,P,0.605,,stocks,,0,0.0,,,,,,0.0,,,BKA,10.0,SGD,,20260709_091600,100,N,0.5,,,,,,20260708,0.595,Sin Heng Mach,0.01,10.0,0.605,,,0.6,MAINBOARD,Sin Heng Mach,0.6,,,1.681,,,,0.605,0.0,6025.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
1.56,,P,1.54,,stocks,,0,0.0,,,,,,0.0,,,S35,74.9,SGD,,20260709_091600,100,K,50.0,,,,,,20260708,1.550,Sing Inv & Fin,-0.02,70.9,1.56,,,1.54,MAINBOARD,Sing Inv & Fin,1.56,,,-1.282,,,,1.560,0.0,116069.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.064,,P,0.064,,stocks,,0,0.0,,,,,,0.0,,,FRQ,0.0,SGD,,20260709_091600,100,Q,0.1,,,,,,20260708,0.063,Sing Paincare,0.0,14.0,0.0,,,0.0,CATALIST,Sing Paincare,0.0,,,0.0,,,,0.075,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.059,,P,0.059,,stocks,,0,0.0,,,,,,0.0,,,5WG,0.0,SGD,,20260709_091600,100,C,0.0,,,,,,20210729,,SingaporeKitchen,0.0,0.0,0.0,SUSP,,0.0,CATALIST,SingaporeKitchen,0.0,,,0.0,,,,,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
3.15,,P,3.17,,stocks,,0,0.0,,,,,,0.0,,,U06,56.3,SGD,,20260709_091600,100,L,2.5,,,,,,20260708,3.170,SingaporeLandGrp,0.02,28.4,3.19,,,3.13,MAINBOARD,SingaporeLandGrp,3.15,,,0.635,,,,3.180,0.0,178301.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.485,,P,0.485,,stocks,,0,0.0,,,,,,0.0,,,5IC,256.7,SGD,,20260709_091600,100,F,9.9,,,,,,20260708,0.480,SingHoldings,0.0,181.9,0.485,,,0.475,MAINBOARD,SingHoldings,0.48,,,0.0,,,,0.485,0.0,123550.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
4.85,,P,4.96,,others,,0,0.0,11.0,,,,,0.0,,,S45U,4.1,SGD,,20260709_084705,100,K,3.0,,,,,,,4.960,SingIndexFund,0.11,0.4,4.96,,,4.94,MAINBOARD,SingIndexFund,4.94,X,,2.268,,,,4.990,0.0,20294.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
